clase(init+radio+pop),dataset,hyper_volume
cmdscaleMean+0.8+10,iris,3.75229869840804
cmdscaleMean+0.8+10,diabetes,3.67708743978318
cmdscalePca+0.8+10,glass,3.52321185412388
cmdscalePca+0.8+10,iris,3.66562176609488
cmdscalePca+0.8+10,diabetes,3.53977318098353
cmdscaleMean+0.8+10,glass,3.75730111685887
cmdscaleMean+0.8+10,iris,3.74668793976001
cmdscaleMean+0.8+10,diabetes,3.69004285556058
cmdscalePca+0.8+10,glass,2.61268226382618
cmdscalePca+0.8+10,iris,2.87664623037618
cmdscalePca+0.8+10,diabetes,3.53387954272729
cmdscaleMean+0.8+10,glass,3.71978457853467
cmdscaleMean+0.8+10,iris,3.72835989455075
cmdscaleMean+0.8+10,diabetes,3.61594075492418
cmdscalePca+0.8+10,glass,3.20498514621547
cmdscalePca+0.8+10,iris,3.47564380845388
cmdscalePca+0.8+10,diabetes,2.93511973132147
cmdscaleMean+0.8+10,glass,3.42853678672809
cmdscaleMean+0.8+10,iris,3.73211962339406
cmdscaleMean+0.8+10,diabetes,3.40148419960315
cmdscalePca+0.8+10,glass,3.60227874402512
cmdscalePca+0.8+10,iris,2.8438281082084
cmdscalePca+0.8+10,diabetes,3.54792645609266
cmdscaleMean+0.8+10,glass,3.4463912551733
cmdscaleMean+0.8+10,iris,3.72904071650124
cmdscaleMean+0.8+10,diabetes,3.71341100861399
cmdscalePca+0.8+10,glass,3.57721272684529
cmdscalePca+0.8+10,iris,3.44620391037445
cmdscalePca+0.8+10,diabetes,2.8237028033467
cmdscaleMean+0.8+10,glass,3.73878646421939
cmdscaleMean+0.8+10,iris,3.34161813180655
cmdscaleMean+0.8+10,diabetes,3.32768552703262
cmdscalePca+0.8+10,glass,3.53645897606024
cmdscalePca+0.8+10,iris,3.60495758046898
cmdscalePca+0.8+10,diabetes,2.78263528340038
cmdscaleMean+0.8+10,glass,3.75469931998932
cmdscaleMean+0.8+10,iris,3.74411407895308
cmdscaleMean+0.8+10,diabetes,3.6982862376828
cmdscalePca+0.8+10,glass,3.42073963157219
cmdscalePca+0.8+10,iris,3.61317006533205
cmdscalePca+0.8+10,diabetes,3.58062714497795
cmdscaleMean+0.8+10,glass,3.75119069744015
cmdscaleMean+0.8+10,iris,3.73635018223706
cmdscaleMean+0.8+10,diabetes,3.6530990586429
cmdscalePca+0.8+10,glass,3.49225415977665
cmdscalePca+0.8+10,iris,3.40024369251669
cmdscalePca+0.8+10,diabetes,3.51121404542388
cmdscaleMean+0.8+10,glass,3.745725305621
cmdscaleMean+0.8+10,iris,3.72517576303348
cmdscaleMean+0.8+10,diabetes,3.71855566004338
cmdscalePca+0.8+10,glass,3.6074090756837
cmdscalePca+0.8+10,iris,3.59380995721907
cmdscalePca+0.8+10,diabetes,3.4812552570634
cmdscaleMean+0.8+10,glass,3.74490690166077
cmdscaleMean+0.8+10,iris,3.70726450409546
cmdscaleMean+0.8+10,diabetes,3.25721736385621
cmdscalePca+0.8+10,glass,3.5820988823888
cmdscalePca+0.8+10,iris,3.19859124445475
cmdscalePca+0.8+10,diabetes,3.53284502062269
cmdscaleMean+0.9+10,glass,3.75436396862132
cmdscaleMean+0.9+10,iris,3.48693325163058
